subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Anger,Sadness,26,108,0.04654747994638888
all,Anger,Surprise,26,108,0.008570004987222225
all,Anger,Anger,27,108,0.40420431940370377
all,Anger,Disgust,27,108,0.3907053551981481
all,Anger,Fear,27,108,0.04495838546416668
all,Anger,Happiness,27,108,0.03518877773787037
all,Anger,Neutral,27,108,0.07144336831666666
all,Anger,Sadness,27,108,0.04659162185981483
all,Anger,Surprise,27,108,0.00690817330990741
all,Anger,Anger,28,108,0.4135637784005555
all,Anger,Disgust,28,108,0.3882654247518519
all,Anger,Fear,28,108,0.04268935289416665
all,Anger,Happiness,28,108,0.03547537075712962
all,Anger,Neutral,28,108,0.06605419412648149
all,Anger,Sadness,28,108,0.04753014313203704
all,Anger,Surprise,28,108,0.006421736121481481
all,Anger,Anger,29,108,0.41733570544351856
all,Anger,Disgust,29,108,0.3993224461925926
all,Anger,Fear,29,108,0.04055360579564815
all,Anger,Happiness,29,108,0.03572317285
all,Anger,Neutral,29,108,0.05196248447601856
all,Anger,Sadness,29,108,0.048483755344907405
all,Anger,Surprise,29,108,0.00661882941
all,Anger,Anger,30,108,0.42200417398148143
all,Anger,Disgust,30,108,0.411815314236111
all,Anger,Fear,30,108,0.028447307493333344
all,Anger,Happiness,30,108,0.03698350258879629
all,Anger,Neutral,30,108,0.046617078801203665
all,Anger,Sadness,30,108,0.048071929435185186
all,Anger,Surprise,30,108,0.006060700329722224
all,Disgust,Anger,1,108,0.15076398872870367
all,Disgust,Disgust,1,108,0.17271657222222223
all,Disgust,Fear,1,108,0.12280149168333333
all,Disgust,Happiness,1,108,0.28317840013888884
all,Disgust,Neutral,1,108,0.11423491860648152
all,Disgust,Sadness,1,108,0.10774597794999997
all,Disgust,Surprise,1,108,0.0485586429925926
all,Disgust,Anger,2,108,0.15348583270740743
all,Disgust,Disgust,2,108,0.18466804140555557
all,Disgust,Fear,2,108,0.1147333189546296
all,Disgust,Happiness,2,108,0.2926985204055556
all,Disgust,Neutral,2,108,0.1261774039638889
all,Disgust,Sadness,2,108,0.10247502171453703
all,Disgust,Surprise,2,108,0.025761861564166665
all,Disgust,Anger,3,108,0.1583212374521296
all,Disgust,Disgust,3,108,0.20144181073796283
all,Disgust,Fear,3,108,0.1104870193638889
all,Disgust,Happiness,3,108,0.2910310893722223
all,Disgust,Neutral,3,108,0.12018059412499997
all,Disgust,Sadness,3,108,0.09933896131027778
all,Disgust,Surprise,3,108,0.019199285292870374
all,Disgust,Anger,4,108,0.15713578414138898
all,Disgust,Disgust,4,108,0.2094827720752779
all,Disgust,Fear,4,108,0.11053414147037044
all,Disgust,Happiness,4,108,0.299218623770926
all,Disgust,Neutral,4,108,0.10923912700833334
all,Disgust,Sadness,4,108,0.09752784754657409
all,Disgust,Surprise,4,108,0.016861697188518508
all,Disgust,Anger,5,108,0.16218242014537035
all,Disgust,Disgust,5,108,0.21879998637435186
all,Disgust,Fear,5,108,0.11384053468018518
all,Disgust,Happiness,5,108,0.2949194289273148
all,Disgust,Neutral,5,108,0.09516921656481482
all,Disgust,Sadness,5,108,0.09978527966962963
all,Disgust,Surprise,5,108,0.01530313503981482
all,Disgust,Anger,6,108,0.15819392536796298
all,Disgust,Disgust,6,108,0.22481279270518523
all,Disgust,Fear,6,108,0.1162718711510185
all,Disgust,Happiness,6,108,0.2942225604314816
all,Disgust,Neutral,6,108,0.08530731480462964
all,Disgust,Sadness,6,108,0.10587551502685184
all,Disgust,Surprise,6,108,0.015316025356111105
all,Disgust,Anger,7,108,0.1560781071268519
all,Disgust,Disgust,7,108,0.23511526203675925
all,Disgust,Fear,7,108,0.11531801177805551
all,Disgust,Happiness,7,108,0.28990334319907407
all,Disgust,Neutral,7,108,0.07628233939351851
all,Disgust,Sadness,7,108,0.11237977751388885
all,Disgust,Surprise,7,108,0.01492314673314816
all,Disgust,Anger,8,108,0.15142338468333333
all,Disgust,Disgust,8,108,0.24769229991296304
all,Disgust,Fear,8,108,0.11140104677018513
all,Disgust,Happiness,8,108,0.2885008134800926
all,Disgust,Neutral,8,108,0.07042011266296298
all,Disgust,Sadness,8,108,0.11438341167564821
all,Disgust,Surprise,8,108,0.016178930779722225
all,Disgust,Anger,9,108,0.14357817212314816
all,Disgust,Disgust,9,108,0.2662358199478704
all,Disgust,Fear,9,108,0.11770600168481478
all,Disgust,Happiness,9,108,0.2773062351995371
all,Disgust,Neutral,9,108,0.06059387712129633
all,Disgust,Sadness,9,108,0.11685789449037033
all,Disgust,Surprise,9,108,0.017722007924675928
all,Disgust,Anger,10,108,0.13483039565712968
all,Disgust,Disgust,10,108,0.28643879453111104
all,Disgust,Fear,10,108,0.12770473899231477
all,Disgust,Happiness,10,108,0.26402259546666657
all,Disgust,Neutral,10,108,0.06372038878703704
all,Disgust,Sadness,10,108,0.10881981725925925
all,Disgust,Surprise,10,108,0.014463270201712964
all,Disgust,Anger,11,108,0.13030077651537034
all,Disgust,Disgust,11,108,0.2923141339208334
all,Disgust,Fear,11,108,0.13743413538240734
all,Disgust,Happiness,11,108,0.2620311313462962
all,Disgust,Neutral,11,108,0.0663320095101852
all,Disgust,Sadness,11,108,0.09999934774629628
all,Disgust,Surprise,11,108,0.011588467418462962
all,Disgust,Anger,12,108,0.12678979220000003
all,Disgust,Disgust,12,108,0.30172982521379627
all,Disgust,Fear,12,108,0.1414695414646296
all,Disgust,Happiness,12,108,0.2590866648074074
all,Disgust,Neutral,12,108,0.07177142157666662
all,Disgust,Sadness,12,108,0.08861573993833334
all,Disgust,Surprise,12,108,0.010537015289898151
all,Disgust,Anger,13,108,0.13056844514703703
all,Disgust,Disgust,13,108,0.31838480024814814
all,Disgust,Fear,13,108,0.14052778472324076
all,Disgust,Happiness,13,108,0.2523149861252777
all,Disgust,Neutral,13,108,0.0613763178358333
all,Disgust,Sadness,13,108,0.08735789486629633
all,Disgust,Surprise,13,108,0.009469774182777781
all,Disgust,Anger,14,108,0.13189670269666667
all,Disgust,Disgust,14,108,0.32976830955685194
all,Disgust,Fear,14,108,0.14053614922629634
all,Disgust,Happiness,14,108,0.2460331851546297
all,Disgust,Neutral,14,108,0.05864713944574073
all,Disgust,Sadness,14,108,0.08417896604990736
all,Disgust,Surprise,14,108,0.008939542856907406
all,Disgust,Anger,15,108,0.13005069829111116
all,Disgust,Disgust,15,108,0.33720751177537034
all,Disgust,Fear,15,108,0.13718909281351846
all,Disgust,Happiness,15,108,0.23937829503481486
all,Disgust,Neutral,15,108,0.062185301962037025
all,Disgust,Sadness,15,108,0.08569251753675927
all,Disgust,Surprise,15,108,0.00829657956555556
all,Disgust,Anger,16,108,0.12683708667111113
all,Disgust,Disgust,16,108,0.349593460356574
all,Disgust,Fear,16,108,0.13245624340064815
all,Disgust,Happiness,16,108,0.2334922252050926
all,Disgust,Neutral,16,108,0.06715616658212963
all,Disgust,Sadness,16,108,0.08234758944916667
all,Disgust,Surprise,16,108,0.008117227738833332
all,Disgust,Anger,17,108,0.12433629354129631
all,Disgust,Disgust,17,108,0.36411669134916663
all,Disgust,Fear,17,108,0.12595567250342588
all,Disgust,Happiness,17,108,0.22622498356509257
all,Disgust,Neutral,17,108,0.07165850714314813
all,Disgust,Sadness,17,108,0.07824146541537036
all,Disgust,Surprise,17,108,0.009466396301583333
all,Disgust,Anger,18,108,0.12130330183518521
all,Disgust,Disgust,18,108,0.3956693617622219
all,Disgust,Fear,18,108,0.11160039822990743
all,Disgust,Happiness,18,108,0.21872368205462964
all,Disgust,Neutral,18,108,0.07091114442472224
all,Disgust,Sadness,18,108,0.07384928730407406
all,Disgust,Surprise,18,108,0.007942826763703701
all,Disgust,Anger,19,108,0.11943530605277779
all,Disgust,Disgust,19,108,0.4159825299517593
all,Disgust,Fear,19,108,0.1032196042714815
all,Disgust,Happiness,19,108,0.2162491740331481
all,Disgust,Neutral,19,108,0.06478259095601853
all,Disgust,Sadness,19,108,0.07384361494379629
all,Disgust,Surprise,19,108,0.006487182395185186
all,Disgust,Anger,20,108,0.1197079392624074
all,Disgust,Disgust,20,108,0.4279006270360185
all,Disgust,Fear,20,108,0.09726816603342593
all,Disgust,Happiness,20,108,0.21079059224203697
all,Disgust,Neutral,20,108,0.06374577494499999
all,Disgust,Sadness,20,108,0.07376359678472222
all,Disgust,Surprise,20,108,0.006823309239074075
all,Disgust,Anger,21,108,0.11872377474259262
all,Disgust,Disgust,21,108,0.4416835640004631
all,Disgust,Fear,21,108,0.08843555180833332
all,Disgust,Happiness,21,108,0.21094471188055564
all,Disgust,Neutral,21,108,0.061801504500555555
all,Disgust,Sadness,21,108,0.0710867752687037
all,Disgust,Surprise,21,108,0.0073241227137037
all,Disgust,Anger,22,108,0.12225455988657406
all,Disgust,Disgust,22,108,0.4535161497925927
all,Disgust,Fear,22,108,0.08598484968564818
all,Disgust,Happiness,22,108,0.21289119324416672
all,Disgust,Neutral,22,108,0.049527742641388914
all,Disgust,Sadness,22,108,0.06887992512592594
all,Disgust,Surprise,22,108,0.006945575189203703
all,Disgust,Anger,23,108,0.12741425457185185
all,Disgust,Disgust,23,108,0.4781012257092594
all,Disgust,Fear,23,108,0.0777316346219444
all,Disgust,Happiness,23,108,0.2111298534073147
all,Disgust,Neutral,23,108,0.03695130870925926
all,Disgust,Sadness,23,108,0.060735160991388884
all,Disgust,Surprise,23,108,0.007936558218944437
all,Disgust,Anger,24,108,0.12842892676055553
all,Disgust,Disgust,24,108,0.5089167678814817
all,Disgust,Fear,24,108,0.06518497071268516
all,Disgust,Happiness,24,108,0.20756548037129632
all,Disgust,Neutral,24,108,0.024686099745555565
all,Disgust,Sadness,24,108,0.05543246716833335
all,Disgust,Surprise,24,108,0.009785297214629628
all,Disgust,Anger,25,108,0.12542083470398147
all,Disgust,Disgust,25,108,0.5306665134568517
all,Disgust,Fear,25,108,0.06248531529703704
all,Disgust,Happiness,25,108,0.2057215757405555
all,Disgust,Neutral,25,108,0.018608196122129626
all,Disgust,Sadness,25,108,0.05109258142268519
all,Disgust,Surprise,25,108,0.00600498796559259
all,Disgust,Anger,26,108,0.12355742514500001
all,Disgust,Disgust,26,108,0.5477325352605555
all,Disgust,Fear,26,108,0.054973870309907365
all,Disgust,Happiness,26,108,0.2018464912213889
all,Disgust,Neutral,26,108,0.01613055990416667
all,Disgust,Sadness,26,108,0.05127760234027775
all,Disgust,Surprise,26,108,0.0044815256108333345
all,Disgust,Anger,27,108,0.1198944130134259
all,Disgust,Disgust,27,108,0.553310206415463
all,Disgust,Fear,27,108,0.054201993707777736
all,Disgust,Happiness,27,108,0.19998890084675922
all,Disgust,Neutral,27,108,0.013863440624537031
all,Disgust,Sadness,27,108,0.05258559075361112
all,Disgust,Surprise,27,108,0.006155456207361106
all,Disgust,Anger,28,108,0.11599126315768521
all,Disgust,Disgust,28,108,0.5642841052185186
all,Disgust,Fear,28,108,0.04925439489379629
all,Disgust,Happiness,28,108,0.2007915279888889
all,Disgust,Neutral,28,108,0.007059339770648149
all,Disgust,Sadness,28,108,0.051938741634444445
all,Disgust,Surprise,28,108,0.010680624406203707
all,Disgust,Anger,29,108,0.10916764756333334
all,Disgust,Disgust,29,108,0.586054749644074
all,Disgust,Fear,29,108,0.04744942860370372
all,Disgust,Happiness,29,108,0.19399739788787046
all,Disgust,Neutral,29,108,0.007435471002407402
all,Disgust,Sadness,29,108,0.043962655703611124
all,Disgust,Surprise,29,108,0.011932649008749999
all,Disgust,Anger,30,108,0.10545452462657406
all,Disgust,Disgust,30,108,0.6011460524555557
all,Disgust,Fear,30,108,0.05178992589490741
all,Disgust,Happiness,30,108,0.18683247992685179
all,Disgust,Neutral,30,108,0.007830899089259264
all,Disgust,Sadness,30,108,0.0367823500839815
all,Disgust,Surprise,30,108,0.0101637637275926
all,Fear,Anger,1,108,0.10667853193981491
all,Fear,Disgust,1,108,0.14246849095462968
all,Fear,Fear,1,108,0.1861909810425926
all,Fear,Happiness,1,108,0.20424811148611113
all,Fear,Neutral,1,108,0.11194460408796292
all,Fear,Sadness,1,108,0.17527805709907418
all,Fear,Surprise,1,108,0.07319122646574072
all,Fear,Anger,2,108,0.0913537213925926
all,Fear,Disgust,2,108,0.13656056142777773
all,Fear,Fear,2,108,0.21688638035092586
all,Fear,Happiness,2,108,0.2125529391256481
all,Fear,Neutral,2,108,0.1129895059685185
all,Fear,Sadness,2,108,0.17721118945277783
all,Fear,Surprise,2,108,0.05244570745638892
all,Fear,Anger,3,108,0.08482782226185186
all,Fear,Disgust,3,108,0.13687592066916665
all,Fear,Fear,3,108,0.22987888102787044
all,Fear,Happiness,3,108,0.21582036577240743
all,Fear,Neutral,3,108,0.11983724570981481
all,Fear,Sadness,3,108,0.16910739409629627
all,Fear,Surprise,3,108,0.04365236626305557
all,Fear,Anger,4,108,0.0866752089937037
all,Fear,Disgust,4,108,0.1419360773064815
all,Fear,Fear,4,108,0.23355466387333343
all,Fear,Happiness,4,108,0.21690677492055557
all,Fear,Neutral,4,108,0.12374901339185186
all,Fear,Sadness,4,108,0.15178343595527774
all,Fear,Surprise,4,108,0.04539482612425926
all,Fear,Anger,5,108,0.08768588146703706
all,Fear,Disgust,5,108,0.13873505243546297
all,Fear,Fear,5,108,0.23867394743629633
all,Fear,Happiness,5,108,0.21819653203111106
all,Fear,Neutral,5,108,0.13640455353888892
all,Fear,Sadness,5,108,0.1367828210048148
all,Fear,Surprise,5,108,0.04352121119731483
all,Fear,Anger,6,108,0.0838968749188889
all,Fear,Disgust,6,108,0.13864630631537034
all,Fear,Fear,6,108,0.24656250191259252
all,Fear,Happiness,6,108,0.21968458094194446
all,Fear,Neutral,6,108,0.14204270441962966
all,Fear,Sadness,6,108,0.12991899906777776
all,Fear,Surprise,6,108,0.039248031298796296
all,Fear,Anger,7,108,0.08757652741222223
all,Fear,Disgust,7,108,0.1464939343661111
