modality,source,target,n_2,errors_2,rate_2,n_3,errors_3,rate_3,total_errors,rate_delta_2_minus_3_pp,two_vote_share_in_errors,two_vote_share_in_source,minority_matches,minority_match_rate_among_two_vote_errors,error_participants
Image,Anger,Sadness,28,0,0.0,80,2,0.025,2,-2.5,0.0,0.25925925925925924,0,,1
Image,Happiness,Disgust,0,0,,108,2,0.018518518518518517,2,,0.0,0.0,0,,1
Image,Sadness,Neutral,14,1,0.07142857142857142,94,1,0.010638297872340425,2,6.0790273556231,0.5,0.12962962962962962,0,0.0,2
Image,Disgust,Neutral,52,0,0.0,56,1,0.017857142857142856,1,-1.7857142857142856,0.0,0.48148148148148145,0,,1
Image,Disgust,Surprise,52,0,0.0,56,1,0.017857142857142856,1,-1.7857142857142856,0.0,0.48148148148148145,0,,1
Image,Happiness,Fear,0,0,,108,1,0.009259259259259259,1,,0.0,0.0,0,,1
Image,Neutral,Disgust,14,1,0.07142857142857142,94,0,0.0,1,7.142857142857142,1.0,0.12962962962962962,0,0.0,1
Image,Surprise,Disgust,28,0,0.0,80,1,0.0125,1,-1.25,0.0,0.25925925925925924,0,,1
Image,Surprise,Sadness,28,0,0.0,80,1,0.0125,1,-1.25,0.0,0.25925925925925924,0,,1
Image,Anger,Surprise,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Image,Fear,Anger,70,0,0.0,38,0,0.0,0,0.0,,0.6481481481481481,0,,0
Image,Fear,Sadness,70,0,0.0,38,0,0.0,0,0.0,,0.6481481481481481,0,,0
Image,Happiness,Neutral,0,0,,108,0,0.0,0,,,0.0,0,,0
Image,Happiness,Sadness,0,0,,108,0,0.0,0,,,0.0,0,,0
Image,Happiness,Surprise,0,0,,108,0,0.0,0,,,0.0,0,,0
Image,Neutral,Fear,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Image,Neutral,Surprise,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Image,Sadness,Fear,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Image,Sadness,Happiness,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Image,Sadness,Surprise,14,0,0.0,94,0,0.0,0,0.0,,0.12962962962962962,0,,0
Image,Surprise,Anger,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Image,Surprise,Happiness,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Image,Surprise,Neutral,28,0,0.0,80,0,0.0,0,0.0,,0.25925925925925924,0,,0
Multimodal,Anger,Disgust,28,15,0.5357142857142857,80,29,0.3625,44,17.32142857142857,0.3409090909090909,0.25925925925925924,13,0.8666666666666667,7
Multimodal,Disgust,Happiness,52,8,0.15384615384615385,56,12,0.21428571428571427,20,-6.043956043956042,0.4,0.48148148148148145,6,0.75,3
Multimodal,Surprise,Fear,28,10,0.35714285714285715,80,10,0.125,20,23.214285714285715,0.5,0.25925925925925924,10,1.0,5
Multimodal,Fear,Happiness,70,4,0.05714285714285714,38,6,0.15789473684210525,10,-10.075187969924812,0.4,0.6481481481481481,0,0.0,3
