true_label,rank,fea_name,raw_difference_incorrect_minus_correct,sd_scaled_difference,abs_sd_scaled_difference,is_paper_relevant_fea,rank_within_paper_relevant
Disgust,11,UpperLipRaiserL,-0.14491634088706515,-0.7901976564134809,0.7901976564134809,True,6
Disgust,14,LipPressorL,-0.029118929982476508,-0.6572142456352464,0.6572142456352464,True,7
Disgust,15,LipPressorR,-0.029175930963783885,-0.6536690371351238,0.6536690371351238,True,8
Disgust,16,LidTightenerR,-0.12184994979866878,-0.6480525919616547,0.6480525919616547,True,9
Disgust,17,LipCornerPullerL,0.13684542722970738,0.6062499376710675,0.6062499376710675,True,10
Disgust,18,LipCornerPullerR,0.139106120385808,0.60250522278939,0.60250522278939,True,11
Disgust,19,ChinRaiserT,-0.10944269173110639,-0.5783471057922506,0.5783471057922506,True,12
Disgust,20,LowerLipDepressorL,0.06497055632451439,0.5428840854290887,0.5428840854290887,True,13
Disgust,21,LowerLipDepressorR,0.05811674109978007,0.4979940556083683,0.4979940556083683,True,14
Disgust,22,LipStretcherL,-0.05361689126616158,-0.4972347146488196,0.4972347146488196,True,15
Disgust,23,UpperLidRaiserL,-0.08737916327782458,-0.48824704932640506,0.48824704932640506,True,16
Disgust,24,LipStretcherR,-0.050057506149669126,-0.4408579150537478,0.4408579150537478,True,17
Disgust,27,LidTightenerL,-0.07226051293272423,-0.4014899533414322,0.4014899533414322,True,18
Disgust,29,UpperLidRaiserR,-0.083382226373549,-0.38751924742119964,0.38751924742119964,True,19
Disgust,30,ChinRaiserB,-0.0783060015203648,-0.38063605202814715,0.38063605202814715,True,20
Disgust,32,JawDrop,0.06544201415962539,0.36651896347114354,0.36651896347114354,True,21
Disgust,34,LipCornerDepressorL,-0.05542702147656388,-0.33272914165204215,0.33272914165204215,True,22
Disgust,36,LipCornerDepressorR,-0.04293635805799373,-0.26571066808994637,0.26571066808994637,True,23
Disgust,44,OuterBrowRaiserR,-0.021628708679433836,-0.13499755807400665,0.13499755807400665,True,24
Disgust,45,CheekRaiserL,-0.025180470132168953,-0.11799041816954024,0.11799041816954024,True,25
Disgust,49,CheekRaiserR,-0.021450077213906404,-0.10356790406791999,0.10356790406791999,True,26
Disgust,52,InnerBrowRaiserL,0.011780342704249956,0.0767137726150502,0.0767137726150502,True,27
Disgust,53,OuterBrowRaiserL,-0.011248273604371594,-0.07172993999787541,0.07172993999787541,True,28
Disgust,54,LipTightenerR,-0.003137985806383881,-0.055390902562652104,0.055390902562652104,True,29
