true_label,fea_name,raw_difference_incorrect_minus_correct
Surprise,LipCornerDepressorR,-0.009140632560278094
Anger,LipCornerPullerL,0.008555619777405328
Disgust,LipCornerPullerL,0.13684542722970738
Fear,LipCornerPullerL,0.033972291384677174
Happiness,LipCornerPullerL,
Neutral,LipCornerPullerL,0.0076183540149189835
Sadness,LipCornerPullerL,-0.023759752780044083
Surprise,LipCornerPullerL,-0.01788211142184453
Anger,LipCornerPullerR,0.00805513861888419
Disgust,LipCornerPullerR,0.139106120385808
Fear,LipCornerPullerR,0.037259733129826916
Happiness,LipCornerPullerR,
Neutral,LipCornerPullerR,0.0076437311419857955
Sadness,LipCornerPullerR,-0.022203610192859276
Surprise,LipCornerPullerR,-0.020683132184892192
Anger,LipFunnelerLB,-0.0008804720839304731
Disgust,LipFunnelerLB,-0.0010516645157411652
Fear,LipFunnelerLB,7.2256550128288065e-06
Happiness,LipFunnelerLB,
Neutral,LipFunnelerLB,-2.1825676099891782e-05
Sadness,LipFunnelerLB,-0.06450547493543249
Surprise,LipFunnelerLB,0.03968879116467315
Anger,LipFunnelerLT,-0.015961128891721077
Disgust,LipFunnelerLT,0.001512361017356986
Fear,LipFunnelerLT,0.0002715341619487736
Happiness,LipFunnelerLT,
Neutral,LipFunnelerLT,0.0003296468237725687
Sadness,LipFunnelerLT,-0.04623722731508228
Surprise,LipFunnelerLT,0.15701631029448443
Anger,LipFunnelerRB,-0.0023989482916604277
Disgust,LipFunnelerRB,-0.0012463243404529226
Fear,LipFunnelerRB,1.5174432840197402e-05
Happiness,LipFunnelerRB,
Neutral,LipFunnelerRB,-4.565618129652053e-05
Sadness,LipFunnelerRB,-0.0654170120099759
Surprise,LipFunnelerRB,0.03870504873856019
Anger,LipFunnelerRT,-0.016039590808333434
Disgust,LipFunnelerRT,0.0008496045975787576
Fear,LipFunnelerRT,0.0006606922591806614
Happiness,LipFunnelerRT,
Neutral,LipFunnelerRT,-0.00033624360306859426
Sadness,LipFunnelerRT,-0.04918129875382456
Surprise,LipFunnelerRT,0.15680538043365058
Anger,LipPressorL,0.040361759742352156
Disgust,LipPressorL,-0.029118929982476508
Fear,LipPressorL,-7.633990219184794e-05
Happiness,LipPressorL,
Neutral,LipPressorL,-2.509907734278644e-05
Sadness,LipPressorL,0.1823308086690682
Surprise,LipPressorL,-0.0013241288320198902
Anger,LipPressorR,0.04053032240396798
Disgust,LipPressorR,-0.029175930963783885
Fear,LipPressorR,-8.956544725305724e-05
Happiness,LipPressorR,
Neutral,LipPressorR,-1.8587062159007986e-05
Sadness,LipPressorR,0.18574464471066282
Surprise,LipPressorR,-0.0011956981227627809
Anger,LipPuckerL,-0.04247402872470911
Disgust,LipPuckerL,-0.040775564115437465
Fear,LipPuckerL,-0.002894584728954775
Happiness,LipPuckerL,
Neutral,LipPuckerL,0.0023723236358195593
Sadness,LipPuckerL,0.2044698826329203
Surprise,LipPuckerL,0.27887621214763303
Anger,LipPuckerR,-0.042329683094060946
Disgust,LipPuckerR,-0.03850127483743153
Fear,LipPuckerR,-0.0025616695797086664
Happiness,LipPuckerR,
Neutral,LipPuckerR,0.0014036437184735187
Sadness,LipPuckerR,0.19291043782178072
Surprise,LipPuckerR,0.28506243812705984
Anger,LipStretcherL,0.06619024832345255
Disgust,LipStretcherL,-0.05361689126616158
Fear,LipStretcherL,-0.011907738260020465
Happiness,LipStretcherL,
Neutral,LipStretcherL,-9.441406763899523e-05
