subset,true_class,output_class,prefix_length,n_sequences,mean_probability
all,Disgust,Fear,18,54,0.1371948842276111
all,Disgust,Happiness,18,54,0.2035538504077778
all,Disgust,Neutral,18,54,0.13912808371931484
all,Disgust,Sadness,18,54,0.059804256069296305
all,Disgust,Surprise,18,54,0.05770390636523149
all,Disgust,Anger,19,54,0.11217467258240742
all,Disgust,Disgust,19,54,0.3206449405290741
all,Disgust,Fear,19,54,0.12908241003875925
all,Disgust,Happiness,19,54,0.19557118014842592
all,Disgust,Neutral,19,54,0.1353994143283852
all,Disgust,Sadness,19,54,0.059445684756851844
all,Disgust,Surprise,19,54,0.047681702856648134
all,Disgust,Anger,20,54,0.1259340503046296
all,Disgust,Disgust,20,54,0.3477802103133333
all,Disgust,Fear,20,54,0.12331280246118519
all,Disgust,Happiness,20,54,0.18729855689257413
all,Disgust,Neutral,20,54,0.11559911546092592
all,Disgust,Sadness,20,54,0.06152300288169444
all,Disgust,Surprise,20,54,0.03855225741840741
all,Disgust,Anger,21,54,0.1365183690224074
all,Disgust,Disgust,21,54,0.387652927340926
all,Disgust,Fear,21,54,0.11420025127694446
all,Disgust,Happiness,21,54,0.19323356103837033
all,Disgust,Neutral,21,54,0.07812153016358706
all,Disgust,Sadness,21,54,0.05841473561054628
all,Disgust,Surprise,21,54,0.031858624676740735
all,Disgust,Anger,22,54,0.13515345494120373
all,Disgust,Disgust,22,54,0.4183727923427779
all,Disgust,Fear,22,54,0.10887532015620371
all,Disgust,Happiness,22,54,0.18301028921346293
all,Disgust,Neutral,22,54,0.07026125093588148
all,Disgust,Sadness,22,54,0.05450433386345185
all,Disgust,Surprise,22,54,0.02982255729751852
all,Disgust,Anger,23,54,0.13184276183442595
all,Disgust,Disgust,23,54,0.4432690748446296
all,Disgust,Fear,23,54,0.10891161777642594
all,Disgust,Happiness,23,54,0.16912650247442593
all,Disgust,Neutral,23,54,0.06492938551937961
all,Disgust,Sadness,23,54,0.053016532374666664
all,Disgust,Surprise,23,54,0.028904126442694442
all,Disgust,Anger,24,54,0.12389234492185189
all,Disgust,Disgust,24,54,0.4627878771133333
all,Disgust,Fear,24,54,0.11625506610312968
all,Disgust,Happiness,24,54,0.16130884972881482
all,Disgust,Neutral,24,54,0.05980200469352962
all,Disgust,Sadness,24,54,0.04714289623140742
all,Disgust,Surprise,24,54,0.02881097964068518
all,Disgust,Anger,25,54,0.11622652587722225
all,Disgust,Disgust,25,54,0.47706423267314824
all,Disgust,Fear,25,54,0.12089260910420371
all,Disgust,Happiness,25,54,0.15948733830064815
all,Disgust,Neutral,25,54,0.05699196809565558
all,Disgust,Sadness,25,54,0.04015125684903703
all,Disgust,Surprise,25,54,0.029186061104462962
all,Disgust,Anger,26,54,0.11192715395803701
all,Disgust,Disgust,26,54,0.4852500139990741
all,Disgust,Fear,26,54,0.12317341854348147
all,Disgust,Happiness,26,54,0.15870120582061115
all,Disgust,Neutral,26,54,0.055595898828477784
all,Disgust,Sadness,26,54,0.03417647918505556
all,Disgust,Surprise,26,54,0.03117582690762037
all,Disgust,Anger,27,54,0.11231743427533335
all,Disgust,Disgust,27,54,0.49157343633555545
all,Disgust,Fear,27,54,0.12378978525038888
all,Disgust,Happiness,27,54,0.1565082771914259
all,Disgust,Neutral,27,54,0.05045816345744816
all,Disgust,Sadness,27,54,0.03116258472285741
all,Disgust,Surprise,27,54,0.03419030522227779
all,Disgust,Anger,28,54,0.10430626861646297
all,Disgust,Disgust,28,54,0.5112685100335185
all,Disgust,Fear,28,54,0.1238580066341852
all,Disgust,Happiness,28,54,0.16238112119609258
all,Disgust,Neutral,28,54,0.03134359250637963
all,Disgust,Sadness,28,54,0.030313237628574075
all,Disgust,Surprise,28,54,0.03652925030742592
all,Disgust,Anger,29,54,0.0932315706325741
all,Disgust,Disgust,29,54,0.5182158277638889
